LOADING_INTRO|LOADING, PLEASE WAIT...
NAME_TABLE_FREE|TRADITIONAL
NAME_TABLE_PREMIUM_1|THE MASTER
NAME_TABLE_PREMIUM_2|THE RASCAL
MSG_BLOCK_PREMIUM|WIN [%num] "CHALLENGE [%name]" MATCHES TO PLAY!
TEXT_UNLOCK_PREMIUM_TABLE|YOU UNLOCKED THE TABLE\n<size=24><color=#00c400>[%name]</color></size>\n\nTO CELEBRATE,\nHERE'S A GIFT
TEXT_UNLOCK_PREMIUM_TABLE_NO_PRICE|YOU UNLOCKED THE TABLE\n<size=22><color=#00c400>[%name]</color></size>
TEXT_UNLOCK_PREMIUM_TABLE_TITLE_POPUP|CONGRATULATIONS!
TEXT_BUTTON_UNLOCK_PREMIUM_TABLE|OK
ERROR_REDEEMREWARD_TABLE|CONNECTION ERROR.\n\nYOU CAN COLLECT THE PRIZE LATER.
TABLE_PREMIUM_INSUFFICENT_FUNDS|You don't have enough coins to play at the table\n<color=#00c400>[%name]</color>\n\nDo you want more coins?
TABLE_PREMIUM_ERROR_CONNECTION|Connection error.\n\nAn internet connection is required to play at the premium tables.
TUTORIAL_MENU_TITLE_TEXT|NEW!
TUTORIAL_MENU_FIRST_MIDDLE_TEXT|PLAY AS ALWAYS\nWITH THE
TUTORIAL_MENU_SECOND_MIDDLE_TEXT|AVAILABLE NOW:\nDISCOVER NEW
TUTORIAL_MENU_PREMIUM_TABLE_NAME_TEXT|FANTASTIC TABLES
TUTORIAL_MENU_FREE_TABLE_NAME_TEXT|TRADITIONAL CHALLENGE
TITLE_LUCKY_WHEEL|PUSH AND WIN
ERROR_NETWORK_LUCKY_WHEEL|<size=26>Sorry, no network. It's  not possible to show Wheel of Fortune section </size>
TUTORIAL_ROUND_FORTUNE_POPUP_TOP_TEXT|PLAY!\nPUSH!\nWIN!
TUTORIAL_ROUND_FORTUNE_POPUP_BOTTOM_TEXT|COMPLETE THE SERIES\nFOR INCREASINGLY RICH AWARDS!
TUTORIAL_ROUND_FORTUNE_POPUP_BT_TEXT|START
FAIL_VIDEO_REWARD|<size=26>There are no available videos at the moment.</size>
TEXT_TIMER_LUCKY_WHEEL|FREE ATTEMPTS BETWEEN
TEXT_GET_LUCKY_WHEEL|OBTAIN
TEXT_FIND_LUCKY_WHEEL|THE PRIZES
TEXT_PRIZE_WHEEL|PUSH AND\nWIN
AUTOPROMO_DAL_NEGRO_TITLE_MAINMENU|PLAY YOUR\nOWN GAME
AUTOPROMO_DAL_NEGRO_DESCRIPTION_MAINMENU|THE BEST REGIONAL CARDS\nCAN BE FOUND ON THE\nDAL NEGRO WEBSITE
AUTOPROMO_DAL_NEGRO_BT_TEXT|CHECK OUT
STORE_BANNER_DAL_NEGRO_TITLE|A WORLD\nOF CARDS
STORE_BANNER_DAL_NEGRO_DESCRIPTION|DISCOVER THE WORLD\nOF PLAYING CARDS\nDAL NEGRO
CARDS_MENU_DAL_NEGRO_TITLE|DO YOU LIKE TO PLAY?
CARDS_MENU_DAL_NEGRO_DESCRIPTION|IF YOUR FAVORITES ARE THE REGIONAL ONES, CHOOSE\nDAL NEGRO
PRODUCT_TAB_LUCKY_WHEEL_TITLE|PUSH AND\nWIN!
PRODUCT_TAB_LUCKY_WHEEL_DESCRIPTION|GAIN COINS BY\nPLAYING FOR FREE!\nWILL YOU BE\nFAST ENOUGH?
PRODUCT_TAB_COINS_TITLE|BUY\nCOINS!
PRODUCT_TAB_COINS_DESCRIPTION|GET MORE COINS\nAND PLAY ALL THE TABLES\nWITHOUT WORRIES!
TEXT_SPIN|SPIN
TEXT_BONUS_LEVEL|BONUS LEVEL [%lev]
TEXT_DAILY_PRIZE|AWARD OF THE DAY
TEXT_ACCESS_DAILY|ENTER EVERY DAY\n FOR NEW REWARDS
TEXT_DAY|DAY [%day]
TEXT_TOUCH|TOUCH TO OBTAIN
TEXT_POPUP_WHEEL_LUCKY|<size=26>ARE YOU SURE YOU WANT TO QUIT?\n\n</size>YOU WON’T HAVE ANOTHER CHANCE UNTIL NEXT LEVEL 
TEXT_POPUP_STAY|STAY
TEXT_POPUP_QUIT|QUIT
TEXT_MIGRATION|CONFIRM THAT YOU HAVE VIEWED AND ACCEPT OUR NEW TERMS OF SERVICE AND PRIVACY POLICY.\nWITH THE EXPRESS CONSENT OF THE USER, THE DATA MAY BE TRANSFERRED TO SERVERS LOCATED IN THE USA, WHICH GUARANTEES AN ADEQUATE LEVEL OF PROTECTION BASED ON STANDARD CONTRACTUAL CLAUSES.
TEXT_MIGRATION_DENIED|SORRY, WITHOUT APPROVAL OF OUR NEW TERMS OF SERVICE AND THE PRIVACY POLICY IT IS NOT POSSIBLE TO PROCEED.
DENY|DENY
APPLE_ALREADY_ADDED|THIS ACCOUNT IS ALREADY CONNECTED TO APPLE
APPLE_ALREADY_ADDED_TITLE|APPLE ALREADY CONNECTED
CONNECT_APPLE|CONNECT TO APPLE
ERROR_ADD_APPLE|The Apple account cannot be connected to the game.
SUCCESS_ADD_APPLE|Account synchronized with Apple.
SUCCESS_ADD_APPLE_TITLE|APPLE CONNECTED
CONFIRM_ADD_APPLE|If you connect your account to Apple, you will be able to have the game progress on all your connected devices.\n\nDo you want to proceed?
CONFIRM_ADD_APPLE_TITLE|CONNECT TO APPLE
NO_LINK_APPLE|This account is not connected to any Apple account.
CONFIRM_REMOVE_APPLE|If you delete the Apple link from your game account, you will not be able to retrieve your progress on all your linked devices.\n\nDo you want to proceed?
LOGOUT_AP_COMPLETE_SUCCESS|Your account has been disconnected from Apple.
LINK_ACCOUNT_APPLE|Sign in with Apple
UNLINK_ACCOUNT_APPLE|Logout
