LOADING_INTRO|CARICAMENTO IN CORSO...
AUTOPROMO_REMOVE_ADS_SUBTITLE|VUOI GIOCARE SENZA\nINTERRUZIONI? RIMUOVI\nLA PUBBLICITÀ!
RECOVERY_ACCOUNT|RECUPERA PROGRESSI
CONFIRM_ADD_FACEBOOK|Se associ il tuo account di gioco a Facebook potrai recuperare i progressi di gioco su tutti i tuoi dispositivi collegati.\n\nVuoi procedere?
CONFIRM_REMOVE_FACEBOOK|Se elimini il collegamento a Facebook dal tuo account di gioco non potrai recuperare i progressi su tutti i tuoi dispositivi collegati.\n\n Vuoi procedere?
WELCOME|BENVENUTO!
TEXT_GDPR|CONFERMA DI AVER VISIONATO\nE DI ACCETTARE I NOSTRI NUOVI\nTERMINI DEL SERVIZIO E\nL’INFORMATIVA SULLA PRIVACY
ACCEPT|ACCETTA
PURCHASE_SUCCESS_AVATAR_SCENE_MENU|<size=26>Per utilizzare il nuovo avatar devi modificare l'immagine del tuo profilo.\n\nVuoi modificarla ora?</size>
PURCHASE_SUCCESS_AVATAR_SCENE_TABLE|<size=26>Ricorda che per utilizzare il nuovo avatar devi modificare l'immagine del tuo profilo.</size>
TITLE_REMOVE_ADS_DETAILS|RIMUOVI LA PUBBLICITÀ
SUBTITLE_REMOVE_ADS_DETAILS|GIOCA SENZA NESSUNA INTERRUZIONE
TEXT_REMOVE_ADS_WEEK|1 SETTIMANA\n<size=15>USA LE TUE MONETE!</size>
TEXT_REMOVE_ADS_MONTH|1 MESE\n<size=15>IN ABBONAMENTO</size>
TEXT_REMOVE_ADS_YEAR|IL PIÙ POPOLARE\n<size=22><color=#FFC600>1 ANNO</color></size>
TEXT_REMOVE_ADS_PERMANENT|PER SEMPRE!
ALERT_REMOVE_ADS_GENERIC|<size=26>Hai già attiva un'opzione per rimuovere la pubblicità.</size>
ALERT_REMOVE_ADS_TEMP_COINS|<size=26>Hai già attivo il rimuovi pubblicità per una settimana.</size>
ALERT_REMOVE_ADS_SUBS|<size=26>Hai già attivo il rimuovi pubblicità per un mese.</size>
ALERT_REMOVE_ADS_TEMP|<size=26>Hai già attivo il rimuovi pubblicità per un anno.</size>
ALERT_REMOVE_ADS_PERM|<size=26>Hai già attivo il rimuovi pubblicità per sempre.</size>
SUCCESS_REMOVE_ADS_TEMP_COINS|<size=26>Acquisto riuscito.\n\nGoditi il gioco senza pubblicità per una settimana.</size>
SUCCESS_REMOVE_ADS_TEMP|<size=26>Acquisto riuscito.\n\nGoditi il gioco senza pubblicità per un anno.</size>
SUCCESS_REMOVE_ADS_SUBS|<size=26>Acquisto riuscito.\n\nGoditi il gioco senza pubblicità per un mese.</size>
SUCCESS_REMOVE_ADS_PERM|<size=26>Acquisto riuscito.\n\nGoditi il gioco senza pubblicità per sempre.</size>
ERROR_RESTORE_PURCHASE|<size=26>Spiacente non è stato possibile ripristinare gli acquisti.\nControlla per favore la connessione internet.</size>
RESTORE_PURCHASE_SUCCESS|<size=26>Gli acquisti sono stati ripristinati correttamente.\nBuon divertimento.</size>
INSTALL|INSTALLA
AUTOPROMO_SOLITARIO_TITLE|GIOCA CON\n<color=#ff0000>IL SOLITARIO</color>\nORIGINALE
NO_ADS|NO PUBBLICITÀ
WIN|VINCI
ENTER|ENTRA
FREE_ENTER|ENTRA <color=#FBC438>GRATIS</color>
CHALLENGE|SFIDA
NAME_TABLE_FREE|TRADIZIONALE
NAME_TABLE_PREMIUM_1|IL MAESTRO
NAME_TABLE_PREMIUM_2|LA PESTE
MSG_BLOCK_PREMIUM|VINCI [%num] PARTITE A "SFIDA [%name]" PER GIOCARE!
TEXT_UNLOCK_PREMIUM_TABLE|HAI SBLOCCATO IL TAVOLO\n<size=24><color=#00c400>[%name]</color></size>\n\nPER L'OCCASIONE\nTI REGALIAMO
TEXT_UNLOCK_PREMIUM_TABLE_NO_PRICE|HAI SBLOCCATO IL TAVOLO\n<size=24><color=#00c400>[%name]</color></size>
TEXT_UNLOCK_PREMIUM_TABLE_TITLE_POPUP|COMPLIMENTI!
TEXT_BUTTON_UNLOCK_PREMIUM_TABLE|OK
ERROR_REDEEMREWARD_TABLE|ERRORE DI CONNESSIONE.\n\nPUOI RITIRARE IL PREMIO PIÙ TARDI.
TABLE_PREMIUM_INSUFFICENT_FUNDS|Non hai abbastanza monete\nper giocare al tavolo\n<color=#00c400>[%name]</color>\n\nVuoi altre monete?
TABLE_PREMIUM_ERROR_CONNECTION|Errore di connessione.\n\nPer giocare ai tavoli premium è necessario un collegamento ad internet.
TUTORIAL_MENU_TITLE_TEXT|NOVITÀ!
TUTORIAL_MENU_FIRST_MIDDLE_TEXT|GIOCA COME HAI\nSEMPRE FATTO CON LA
TUTORIAL_MENU_SECOND_MIDDLE_TEXT|IN PIÙ DA OGGI\nSCOPRI NUOVI
TUTORIAL_MENU_PREMIUM_TABLE_NAME_TEXT|FANTASTICI TAVOLI
TUTORIAL_MENU_FREE_TABLE_NAME_TEXT|SFIDA TRADIZIONALE
TITLE_LUCKY_WHEEL|PREMI E VINCI
ERROR_NETWORK_LUCKY_WHEEL|<size=26>Spiacente assenza di rete. Impossibile accedere alla sezione dei mini giochi.</size>
TUTORIAL_ROUND_FORTUNE_POPUP_TOP_TEXT|GIOCA!\nPREMI!\nVINCI!
TUTORIAL_ROUND_FORTUNE_POPUP_BOTTOM_TEXT|COMPLETA LA SERIE\nPER PREMI SEMPRE PIÙ RICCHI!
TUTORIAL_ROUND_FORTUNE_POPUP_BT_TEXT|INIZIA
FAIL_VIDEO_REWARD|<size=26>Non ci sono al momento video disponibili.</size>
TEXT_TIMER_LUCKY_WHEEL|TENTATIVO GRATIS TRA
TEXT_GET_LUCKY_WHEEL|OTTIENI
TEXT_FIND_LUCKY_WHEEL|I PREMI
TEXT_PRIZE_WHEEL|PREMI E\nVINCI
AUTOPROMO_DAL_NEGRO_TITLE_MAINMENU|GIOCA LA TUA PARTITA
AUTOPROMO_DAL_NEGRO_DESCRIPTION_MAINMENU|LE MIGLIORI CARTE REGIONALI\nLE TROVI NEL SITO DI\nDAL NEGRO
AUTOPROMO_DAL_NEGRO_BT_TEXT|SCOPRI
STORE_BANNER_DAL_NEGRO_TITLE|UN MONDO\nDI CARTE
STORE_BANNER_DAL_NEGRO_DESCRIPTION|SCOPRI IL MONDO\nDELLE CARTE DA GIOCO\nDAL NEGRO
CARDS_MENU_DAL_NEGRO_TITLE|TI PIACE GIOCARE?
CARDS_MENU_DAL_NEGRO_DESCRIPTION|SE LE TUE PREFERITE SONO LE REGIONALI, SCEGLI\nDAL NEGRO
PRODUCT_TAB_LUCKY_WHEEL_TITLE|PREMI E\nVINCI!
PRODUCT_TAB_LUCKY_WHEEL_DESCRIPTION|OTTIENI MONETE\nGIOCANDO GRATIS!\nSARAI ABBASTANZA VELOCE?
PRODUCT_TAB_COINS_TITLE|ACQUISTA\nMONETE
PRODUCT_TAB_COINS_DESCRIPTION|FAI IL PIENO DI MONETE\nE GIOCA A TUTTI I\nTAVOLI SENZA\nPENSIERI!
TEXT_SPIN|GIRA
TEXT_BONUS_LEVEL|BONUS LIVELLO [%lev]
TEXT_DAILY_PRIZE|PREMIO DEL GIORNO
TEXT_ACCESS_DAILY|ACCEDI OGNI GIORNO\n PER NUOVI PREMI
TEXT_DAY|GIORNO [%day]
TEXT_TOUCH|TOCCA PER OTTENERE
TEXT_POPUP_WHEEL_LUCKY|<size=26>SICURO DI VOLER USCIRE DALLA RUOTA DELLA FORTUNA?\n\n</size>NON AVRAI UN ALTRO TENTATIVO FINO AL PROSSIMO LIVELLO
TEXT_POPUP_STAY|RESTA
TEXT_POPUP_QUIT|ESCI
TEXT_MIGRATION|CONFERMA DI AVER VISIONATO E DI ACCETTARE I NOSTRI NUOVI TERMINI DEL SERVIZIO E LA PRIVACY POLICY.\nPREVIO CONSENSO ESPRESSO DELL'UTENTE, I DATI POTRANNO ESSERE TRASFERITI SU SERVER UBICATI IN USA, CHE GARANTISCE UN ADEGUATO LIVELLO DI PROTEZIONE SULLA BASE DI CLAUSOLE CONTRATTUALI STANDARD.
TEXT_MIGRATION_DENIED|SPIACENTI, SENZA APPROVAZIONE DEI NOSTRI NUOVI TERMINI DEL SERVIZIO E LA PRIVACY POLICY NON E' POSSIBILE PROCEDERE.
DENY|NEGA
APPLE_ALREADY_ADDED|QUESTO ACCOUNT DI GIOCO È GIÀ COLLEGATO AD UN ACCOUNT APPLE
APPLE_ALREADY_ADDED_TITLE|APPLE GIÀ COLLEGATO
CONNECT_APPLE|COLLEGA A APPLE
ERROR_ADD_APPLE|Impossibile collegare l'account Apple al gioco.
SUCCESS_ADD_APPLE|Account di gioco sincronizzato con l'account di Apple.
SUCCESS_ADD_APPLE_TITLE|APPLE COLLEGATO
CONFIRM_ADD_APPLE|Se associ il tuo account di gioco a Apple potrai recuperare i progressi di gioco su tutti i tuoi dispositivi collegati.\n\nVuoi procedere?
CONFIRM_ADD_APPLE_TITLE|COLLEGA A APPLE
NO_LINK_APPLE|Questo account di gioco non è collegato a nessun account Apple.
CONFIRM_REMOVE_APPLE|Se elimini il collegamento a Apple dal tuo account di gioco non potrai recuperare i progressi su tutti i tuoi dispositivi collegati.\n\n Vuoi procedere?
LOGOUT_AP_COMPLETE_SUCCESS|Il tuo account di gioco è stato scollegato da Apple.
LINK_ACCOUNT_APPLE|Accedi con Apple
UNLINK_ACCOUNT_APPLE|Logout
