LOADING_INTRO|CARGANDO, POR FAVOR ESPERE...
AUTOPROMO_REMOVE_ADS_SUBTITLE|¿QUIERES JUGAR\nSIN INTERRUPCIONES?\n¡QUITAR PUBLICIDAD!
RECOVERY_ACCOUNT|RECUPERAR ACCOUNT
CONFIRM_ADD_FACEBOOK|Si conectas tu cuenta a Facebook, podrás ver el progreso del juego en todos los dispositivos conectados.\n\n¿Quieres continuar?
CONFIRM_REMOVE_FACEBOOK|Si elimina el enlace de Facebook de su cuenta de juego, no podrá recuperar su progreso en todos sus dispositivos vinculados.\n\n¿Quieres proceder?
WELCOME|¡BIENVENIDO!
TEXT_GDPR|CONFIRMA QUE HA VISTO\nY ACEPTA NUESTROS NUEVOS\nTÉRMINOS DE SERVICIO Y\nPOLÍTICA DE PRIVACIDAD
ACCEPT|ACEPTA
PURCHASE_SUCCESS_AVATAR_SCENE_MENU|<size=26>Para utilizar el nuevo avatar, debes cambiar tu imagen de perfil.\n\n¿Quieres hacerlo ahora?</size>
PURCHASE_SUCCESS_AVATAR_SCENE_TABLE|<size=26>Recuerda que para usar el nuevo avatar debes cambiar tu imagen de perfil.</size>
TITLE_REMOVE_ADS_DETAILS|ELIMINAR PUBLICIDAD
SUBTITLE_REMOVE_ADS_DETAILS|JUEGA SIN CUALQUIER INTERRUPCIÓN
TEXT_REMOVE_ADS_WEEK|1 SEMANA\n<size=15>¡UTILIZA TUS MONEDAS!</size>
TEXT_REMOVE_ADS_MONTH|1 MES\n<size=15>SUSCRIPCIÓN</size>
TEXT_REMOVE_ADS_YEAR|EL MÁS POPULAR\n<size=22><color=#FFC600>1 AÑO</color></size>
TEXT_REMOVE_ADS_PERMANENT|¡PARA SIEMPRE!
ALERT_REMOVE_ADS_GENERIC|<size=26>Ya tienes una opción para eliminar anuncios.</size>
ALERT_REMOVE_ADS_TEMP_COINS|<size=26>Ya ha activado la eliminación de anuncios durante una semana.</size>
ALERT_REMOVE_ADS_SUBS|<size=26>Ya ha activado la eliminación de anuncios durante un mes.</size>
ALERT_REMOVE_ADS_TEMP|<size=26>Ya ha activado la eliminación de anuncios durante un año.</size>
ALERT_REMOVE_ADS_PERM|<size=26>Ya ha activado la eliminación de anuncios para siempre.</size>
SUCCESS_REMOVE_ADS_TEMP_COINS|<size=26>Compra realizada con éxito.\n\nDisfruta del juego sin anuncios durante una semana.</size>
SUCCESS_REMOVE_ADS_TEMP|<size=26>Compra realizada con éxito.\n\nDisfruta del juego sin anuncios durante un año.</size>
SUCCESS_REMOVE_ADS_SUBS|<size=26>Compra realizada con éxito.\n\nDisfruta del juego sin anuncios durante un mes.</size>
SUCCESS_REMOVE_ADS_PERM|<size=26>Compra realizada con éxito.\n\nDisfruta del juego sin anuncios para siempre.</size>
ERROR_RESTORE_PURCHASE|<size=26>Lo sentimos, no hemos podido restaurar tus compras.\nComprueba tu conexión a Internet.</size>
RESTORE_PURCHASE_SUCCESS|<size=26>Las compras se han restaurado correctamente.\nDisfruta.</size>
INSTALL|INSTALAR
AUTOPROMO_SOLITARIO_TITLE|PLAY WITH\nTHE CLASSIC\n<color=#ff0000>SOLITAIRE</color>
NO_ADS|NO PUBLICIDAD
WIN|GANA
ENTER|ÚNETE
FREE_ENTER|ÚNETE <color=#FBC438>GRATIS</color>
CHALLENGE|DESAFÍO
NAME_TABLE_FREE|TRADICIONAL
NAME_TABLE_PREMIUM_1|EL MAESTRO
NAME_TABLE_PREMIUM_2|LA BRIBONA
MSG_BLOCK_PREMIUM|GANA [%num] "DESAFÍO [%name]" JUEGOS PARA ENTRAR!
TEXT_UNLOCK_PREMIUM_TABLE|HAS DESBLOQUEADO LA MESA\n<size=24><color=#00c400>[%name]</color></size>\n\nPARA LA OCASIÓN\nTE DAMOS
TEXT_UNLOCK_PREMIUM_TABLE_NO_PRICE|HAS DESBLOQUEADO LA MESA\n<size=22><color=#00c400>[%name]</color></size>
TEXT_UNLOCK_PREMIUM_TABLE_TITLE_POPUP|¡FELICIDADES!
TEXT_BUTTON_UNLOCK_PREMIUM_TABLE|OK
ERROR_REDEEMREWARD_TABLE|ERROR DE CONEXIÓN.\n\nPUEDES RECOGER EL PREMIO MÁS TARDE.
TABLE_PREMIUM_INSUFFICENT_FUNDS|No tienes suficientes monedas para jugar en la mesa\n<color=#00c400>[%name]</color>\n\n¿Quieres más monedas?
TABLE_PREMIUM_ERROR_CONNECTION|Error de conexión.\n\nSe requiere una conexión a Internet para jugar en las mesas premium.
TUTORIAL_MENU_TITLE_TEXT|¡NUEVO!
TUTORIAL_MENU_FIRST_MIDDLE_TEXT|JUEGA COMO SIEMPRE\nCON LA MESA DE
TUTORIAL_MENU_SECOND_MIDDLE_TEXT|A PARTIR DE HOY,\nDESCUBRE NUEVAS
TUTORIAL_MENU_PREMIUM_TABLE_NAME_TEXT|MESAS FANTÁSTICAS
TUTORIAL_MENU_FREE_TABLE_NAME_TEXT|DESAFÍO TRADICIONAL
TITLE_LUCKY_WHEEL|¡EMPUJA Y GANA!
ERROR_NETWORK_LUCKY_WHEEL|<size=26>Lo sentimos, no hay red. No es posible mostrar la Rueda de la Fortuna</size>
TUTORIAL_ROUND_FORTUNE_POPUP_TOP_TEXT|JUEGA!\nEMPUJA!\nGANA!
TUTORIAL_ROUND_FORTUNE_POPUP_BOTTOM_TEXT|¡COMPLETA LA SERIE\nPARA OBTENER PREMIOS CADA VEZ MÁS GRANDES!
TUTORIAL_ROUND_FORTUNE_POPUP_BT_TEXT|COMIENZA
FAIL_VIDEO_REWARD|<size=26>No hay vídeos disponibles en este momento.</size>
TEXT_TIMER_LUCKY_WHEEL|INTENTOS GRATUITOS ENTRE
TEXT_GET_LUCKY_WHEEL|OBTENER
TEXT_FIND_LUCKY_WHEEL|LOS PREMIOS
TEXT_PRIZE_WHEEL|¡EMPUJA Y\nGANA!
AUTOPROMO_DAL_NEGRO_TITLE_MAINMENU|JUEGA TU\nJUEGO
AUTOPROMO_DAL_NEGRO_DESCRIPTION_MAINMENU|LAS MEJORES CARTAS\nREGIONALES SE ENCUENTRAN\nEN EL SITIO DE DAL NEGRO
AUTOPROMO_DAL_NEGRO_BT_TEXT|DESCUBRE
STORE_BANNER_DAL_NEGRO_TITLE|UN MUNDO\nDE CARTAS
STORE_BANNER_DAL_NEGRO_DESCRIPTION|DESCUBRE EL MUNDO\nDE LAS CARTAS\nDAL NEGRO
CARDS_MENU_DAL_NEGRO_TITLE|¿TE ENCANTA JUGAR?
CARDS_MENU_DAL_NEGRO_DESCRIPTION|SI TUS FAVORITAS SON LAS REGIONALES, ESCOGE\nDAL NEGRO
PRODUCT_TAB_LUCKY_WHEEL_TITLE|¡EMPUJA Y\nGANA!
PRODUCT_TAB_LUCKY_WHEEL_DESCRIPTION|¡GANA MONEDAS\nJUGANDO GRATIS! ¿SERÁS\nLO SUFICIENTEMENTE RÁPIDO?
PRODUCT_TAB_COINS_TITLE|COMPRAR\nMONEDAS
PRODUCT_TAB_COINS_DESCRIPTION|¡LLÉNATE DE MONEDAS\nY JUEGA EN TODAS LAS\nMESAS SIN PREOCUPACIONES!
TEXT_SPIN|GIRA
TEXT_BONUS_LEVEL|BONUS NIVEL [%lev]
TEXT_DAILY_PRIZE|PREMIO DEL DÍA
TEXT_ACCESS_DAILY|INICIAR SESIÓN TODOS LOS DÍAS\n PARA OBTENER NUEVAS RECOMPENSAS
TEXT_DAY|DÍA [%day]
TEXT_TOUCH|TOQUE PARA OBTENER
TEXT_POPUP_WHEEL_LUCKY|<size=26>¿ESTÁS SEGURO QUE QUIERES SALIR? \n\n</size>NO TENDRÁS OTRA OPORTUNIDAD HASTA EL SIGUIENTE NIVEL 
TEXT_POPUP_STAY|QUÉDATE 
TEXT_POPUP_QUIT|SALIR 
TEXT_MIGRATION|CONFIRMA QUE HAS VISTO Y ACEPTAS NUESTROS NUEVOS TÉRMINOS DE SERVICIO Y POLÍTICA DE PRIVACIDAD.\nCON EL CONSENTIMIENTO EXPRESO DEL USUARIO, LOS DATOS PUEDEN SER TRANSFERIDOS A SERVIDORES UBICADOS EN EE. UU., LO QUE GARANTIZA UN NIVEL ADECUADO DE PROTECCIÓN BASADO EN CLÁUSULAS CONTRACTUALES ESTÁNDAR.
TEXT_MIGRATION_DENIED|LO SENTIMOS, SIN LA APROBACIÓN DE NUESTROS NUEVOS TÉRMINOS DE SERVICIO Y LA POLÍTICA DE PRIVACIDAD NO ES POSIBLE CONTINUAR.
DENY|DENEGAR
APPLE_ALREADY_ADDED|ESTA CUENTA YA ESTÁ CONECTADA A APPLE
APPLE_ALREADY_ADDED_TITLE|YA ESTÁS CONECTADO CON APPLE
CONNECT_APPLE|CONÉCTATE A APPLE
ERROR_ADD_APPLE|Tu cuenta de Apple no se puede conectar con el juego.
SUCCESS_ADD_APPLE|Cuenta sincronizada con Apple.
SUCCESS_ADD_APPLE_TITLE|APPLE CONECTADO
CONFIRM_ADD_APPLE|Si conectas tu cuenta a Apple, podrás ver el progreso del juego en todos los dispositivos conectados.\n\n¿Quieres continuar?
CONFIRM_ADD_APPLE_TITLE|CONÉCTATE A FACEBOOK
NO_LINK_APPLE|Esta cuenta no está conectada a ninguna cuenta de Apple.
CONFIRM_REMOVE_APPLE|Si elimina el enlace de Apple de su cuenta de juego, no podrá recuperar su progreso en todos sus dispositivos vinculados.\n\n¿Quieres proceder?
LOGOUT_AP_COMPLETE_SUCCESS|Se ha desconectado tu cuenta de Apple.
LINK_ACCOUNT_APPLE|Iniciar sesión con Apple
UNLINK_ACCOUNT_APPLE|Logout
